PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|LD_TYPE|LOT_SIZE|ACRE
LD|70844877|BB302018|BB4624|ACT|139900|9|Donna Rd||117||02576|N|2|11/9/2008 9:58:00 PM|3|A|46174|1.06
LD|70848415|B9500942|NB9587|ACT|229000|2111|Bridge St||371||01826|U|0|11/19/2008 7:07:00 AM|0|C|254826|5.85
LD|70849934|BB922236|BB3068|ACT|174900|Lot 9|High Point Drive||443||01536|U|5|12/2/2008 8:55:00 AM|31|A|17424|0.4
LD|70849935|BB922236|BB3068|ACT|179900|Lot 28|High Point Drive||443||01536|U|5|12/2/2008 8:57:00 AM|31|A|21780|0.5
LD|70851045|CT005875|BB0440|ACT|200000|0000|MOODY STREET||33||02019|U|2|11/28/2008 11:41:00 AM|3|A|100000|2.29
LD|70851068|J0000997|J61900|ACT|50000|0-L72|Russell Terrace||858||01040|U|3|12/1/2008 3:59:00 PM|7|A|9549|0.21
LD|70851071|J0000997|J61900|ACT|50000|0-L73|Russell Terrace||858||01040|U|3|12/1/2008 4:03:00 PM|7|A|8760|0.2
LD|70851973|K9500455|AC1796|ACT|119900|Lot 2|Old Common Road||445||01501|N|4|7/23/2009 10:27:00 AM|15|A|44481|1.02
LD|70851974|K9500455|AC1796|ACT|119900|Lot 1|Old Common Road||445||01501|N|4|7/23/2009 10:25:00 AM|15|A|41918|0.96
LD|70851975|K9500455|AC1796|ACT|119900|Lot 3|Old Common Road||445||01501|N|4|7/23/2009 10:13:00 AM|15|A|45267|1.03
LD|70852507|A0000451|A80021|ACT|80000|0|Lakeside||205||02341|N|8|11/18/2009 12:05:00 PM|255|A|121967|2.8
LD|70859130|H8000122|K95580|ACT|1299000|0|Deershorn road||453||01523|U|1|2/24/2009 2:55:00 PM|1|A|803682|18.45
LD|70861285|H3427008|H95001|PCG|63900|L-3|New Ipswich Rd.||462||01431|N|4|1/7/2009 5:18:00 PM|15|A|147233|3.38
LD|70861979|BB983124|NB1499|ACT|135000|Lot|N Worcester St||170||02766|U|1|1/9/2009 11:00:00 AM|1|A|20000|0.45
LD|70863326|E0000DWP|BB8172|ACT|55000|Lot 3|Old Elm Way||507||01360|U|1|1/13/2009 10:46:00 AM|1|A|47916|1.1
LD|70863329|E0000DWP|BB8172|ACT|59900|Lot 4|Old Elm Way||507||01360|U|1|1/13/2009 10:47:00 AM|1|A|69696|1.6
LD|70863331|E0000DWP|BB8172|ACT|69900|Lot 6|Old Elm Way||507||01360|U|1|1/13/2009 10:47:00 AM|1|A|106722|2.45
LD|70867241|G8002059|NH0035|ACT|105000|Lot 4|Harvest Dr.||1139||03055|U|4|1/23/2009 1:27:00 PM|15|A|15000|0.34
LD|70867248|G8002059|NH0035|ACT|105000|Lot 7|Harvest Dr.||1139||03055|U|4|1/23/2009 1:28:00 PM|15|A|15000|0.34
