PROP_TYPE|LIST_NO|LIST_AGENT|LIST_OFFICE|STATUS|LIST_PRICE|STREET_NO|STREET_NAME|UNIT_NO|TOWN_NUM|AREA|ZIP_CODE|LENDER_OWNED|PHOTO_COUNT|PHOTO_DATE|PHOTO_MASK|RN_TYPE|NO_ROOMS|NO_BEDROOMS|NO_FULL_BATHS|NO_HALF_BATHS|MASTER_BATH|PARKING_SPACES|LOT_SIZE|SQUARE_FEET
RN|71327046|D0007282|D02001|ACT|1300|825-827|Lakeview Avenue|3|372||01850||20|2/20/2012 11:47:00 AM|1048575|D|7|4|1|0|N|2|4880|1200
RN|71327109|BB982616|BB3534|ACT|1500|215|Laurelwood Dr|215|440||01747||9|3/17/2012 10:51:00 AM|511|B|5|2|1|1|Y|2|0|1900
RN|71327115|H7542333|H95001|PCG|875|254|Merriam|2|454||01453||8|1/13/2012 2:15:00 PM|255|D|4|2|1|0||2|23553|800
RN|71327211|BB801486|AC0189|ACT|850|86|Somerset Ave|2|173||02780||6|1/13/2012 4:27:00 PM|63|D|4|2|1|0|N|1|0.26|1364
RN|71327392|K0004094|K01624|ACT|750|60|Fraternal Avenue|1L|401|BUR|01606||1|1/14/2012 2:36:00 PM|1|D|3|1|1|0|N|1|5000|600
RN|71327460|CT000489|AC0579|ACT|675|12|Hartford St|1B|455||01420||11|1/14/2012 9:36:00 PM|2047|D|3|1|1|0|N|1|0|500
RN|71327461|CT000489|AC0579|ACT|825|12|Hartford St|2|455||01420||14|3/25/2012 5:17:00 PM|16383|D|5|2|1|0|N|2|0|1400
RN|71327462|BB921806|BB5921|ACT|1600|121|Ashmont|1|1|002|02124||6|1/14/2012 10:22:00 PM|63|D|4|2|1|0||0|5335|1250
RN|71327500|A0000904|A80019|ACT|1150|73|Sea View Drive|2|213||02360||9|1/15/2012 5:12:00 PM|511|B|2|1|1|0|N|2|0.31|540
RN|71327510|BB921861|AC0111|ACT|4200|314|Wood Lands Way|1|575||01255||14|1/15/2012 1:28:00 PM|16383|A|5|2|2|0|N|4|43560|2100
RN|71327514|CT000075|D95031|ACT|1150|13|Madonna|13|372||01854||12|1/15/2012 1:40:00 PM|4095|B|4|2|1|1||2|0|882
RN|71327526|BB921861|AC0111|ACT|4700|246|Lake Shore Dr|1|575||01255||12|1/15/2012 2:45:00 PM|4095|A|8|4|2|0|N|4|44560|1920
RN|71327536|G8002186|G95064|ACT|1450|202|Pondview Pl.|202|377||01879||11|1/18/2012 11:41:00 AM|2047|C|5|2|1|1|N|2|0|1080
RN|71327549|BB803992|BB8253|ACT|1450|77|Maple Street|77|67||02763||3|1/20/2012 1:31:00 PM|7|B|6|4|1|0||3|9366|1750
RN|71327575|TM003061|K95344|ACT|1000|159|Elm St|7|428||01550||25|1/15/2012 10:34:00 PM|33554431|C|4|2|1|1|N|2|0|1141
RN|71327657|A0001005|BB2685|ACT|775|00|Downtown|Studio|213||02360||2|3/23/2012 1:00:00 PM|3|D|2|1|1|0|N|0|10000|550
